Entity,Code,Year,"Bovine meat food supply quantity (kg/capita/yr) (FAO, 2020)","Poultry meat food supply quantity (kg/capita/yr) (FAO, 2020)","Pigmeat food supply quantity (kg/capita/yr) (FAO, 2020)","Mutton & Goat meat food supply quantity (kg/capita/yr) (FAO, 2020)","Meat, Other, Food supply quantity (kg/capita/yr) (FAO, 2020)",MEATTOTAL
Afghanistan,AFG,2017,2.61,1.53,0,4.15,0.3,8.59
Albania,ALB,2017,14.67,16.36,7.2,9.11,0.17,47.51
Algeria,DZA,2017,4.63,6.38,0,6.69,0.35,18.05
Angola,AGO,2017,4.33,10.56,7.5,0.77,0.32,23.48
Antigua and Barbuda,ATG,2017,7.47,54.1,8.22,1.99,0.25,72.03
Argentina,ARG,2017,54.16,42.24,10.7,1.28,1,109.38
Armenia,ARM,2017,17.82,16.06,8.79,2.95,0.03,45.65
Australia,AUS,2017,35.7,47.65,25.92,10.07,2.26,121.6
Austria,AUT,2017,17.76,18.2,48.97,1.12,1.17,87.22
Azerbaijan,AZE,2017,12.69,13.11,0.51,7.77,0,34.08
Bahamas,BHS,2017,7.93,43.17,12.56,2.91,0.47,67.04
Bangladesh,BGD,2017,1.18,1.5,0,1.36,0,4.04
Barbados,BRB,2017,12.76,46.78,7.29,4.49,0.05,71.37
Belarus,BLR,2017,16.73,27.98,36.46,0.11,0.19,81.47
Belgium,BEL,2017,13.76,12.65,36.54,1.04,1.79,65.78
Belize,BLZ,2017,3.26,25.69,11.77,0.11,0.26,41.09
Benin,BEN,2017,3.42,14.4,0.74,0.92,0.77,20.25
Bolivia,BOL,2017,21.89,36,9.48,2.46,1.56,71.39
Bosnia and Herzegovina,BIH,2017,9.33,16.7,9.41,0.41,0.18,36.03
Botswana,BWA,2017,5.78,3.39,0.73,2.83,11.71,24.44
Brazil,BRA,2017,37.05,48.03,13.65,0.6,0.51,99.84
Bulgaria,BGR,2017,3.89,22.06,30.05,1.38,0.92,58.3
Burkina Faso,BFA,2017,5.21,2.27,2.03,2.05,0.45,12.01
Cambodia,KHM,2017,4.1,2.34,5.89,0.01,0,12.34
Cameroon,CMR,2017,3.24,3.16,1.21,1.28,3.09,11.98
Canada,CAN,2017,18.13,39.02,24.46,0.99,0.01,82.61
Cape Verde,CPV,2017,2.21,17.62,10.27,1.86,0.22,32.18
Central African Republic,CAF,2017,19.75,2.29,3.8,5.51,4.55,35.9
Chad,TCD,2017,8.26,0.45,0.06,16.76,0.95,26.48
Chile,CHL,2017,21.23,36.36,24.47,0.48,0.62,83.16
China,CHN,2017,5.58,12.88,37.63,3.25,1.25,60.59
Colombia,COL,2017,14.68,31.99,8.95,0.15,0.12,55.89
Congo,COG,2017,2.81,21.53,6.12,0.35,9.3,40.11
Costa Rica,CRI,2017,13.58,26.52,13.44,0.01,0,53.55
Cote d'Ivoire,CIV,2017,1.24,2.53,1.72,0.56,6.32,12.37
Croatia,HRV,2017,12.31,10.77,49.58,1.52,1.11,75.29
Cuba,CUB,2017,6.6,23.72,18.56,1.18,5.41,55.47
Cyprus,CYP,2017,6.72,25.08,34.77,5,1.25,72.82
Czech Republic,CZE,2017,10.34,21.96,45.82,0.32,4.34,82.78
Denmark,DNK,2017,25.38,28.98,14.21,0.9,1.35,70.82
Djibouti,DJI,2017,6.73,2.68,0.08,4.8,0.75,15.04
Dominica,DMA,2017,8.46,35.19,10.27,0.97,0.13,55.02
Dominican Republic,DOM,2017,8.68,35.26,11.08,0.21,0.02,55.25
Ecuador,ECU,2017,12.61,19.31,13.04,0.2,0.06,45.22
Egypt,EGY,2017,10.76,12.96,0.01,1.31,1.25,26.29
El Salvador,SLV,2017,6.31,20.43,3.76,0.02,0,30.52
Estonia,EST,2017,7.44,21.26,34.36,0.46,0.11,63.63
Ethiopia,ETH,2017,3.52,0.13,0.02,0.64,1.09,5.4
Fiji,FJI,2017,5,28.02,4.68,6.03,0.11,43.84
Finland,FIN,2017,19.05,18.76,37.31,0.56,1.01,76.69
France,FRA,2017,23.15,22.9,32.78,2.84,1.37,83.04
French Polynesia,PYF,2017,25.01,47.4,19.14,3.1,1.43,96.08
Gabon,GAB,2017,6.34,29.33,7.99,0.69,14.85,59.2
Gambia,GMB,2017,2.65,3.53,0.27,0.67,0.69,7.81
Georgia,GEO,2017,5.94,15.27,9.7,0.78,0.14,31.83
Germany,DEU,2017,14.91,19.47,50.45,0.82,2.13,87.78
Ghana,GHA,2017,1.01,7.24,1.08,1.72,2.69,13.74
Greece,GRC,2017,15.7,15.32,29.24,9.24,2.19,71.69
Grenada,GRD,2017,3.17,45.7,8.64,1.23,0.65,59.39
Guatemala,GTM,2017,10.77,20.58,4.76,0.13,0.15,36.39
Guinea,GIN,2017,6.5,4.08,0.17,1.79,0.51,13.05
Guinea-Bissau,GNB,2017,3.87,2.16,9.88,1.38,0,17.29
Guyana,GUY,2017,3.37,38.34,2.37,1.1,0.04,45.22
Haiti,HTI,2017,4.1,8.91,3.63,0.58,0.39,17.61
Honduras,HND,2017,6.84,21.73,4.49,0.03,0,33.09
Hong Kong,HKG,2017,20.1,53.51,59.1,1.36,2.99,137.06
Hungary,HUN,2017,4.19,25.27,49.82,0.14,0.3,79.72
Iceland,ISL,2017,15.12,29.95,20.77,21.92,3.25,91.01
India,IND,2017,0.76,2.22,0.25,0.44,0.11,3.78
Indonesia,IDN,2017,2.79,7.19,1.24,0.46,0.01,11.69
Iran,IRN,2017,5.22,27.52,0,3.08,0.16,35.98
Iraq,IRQ,2017,2.59,14.95,0,1.45,0.07,19.06
Ireland,IRL,2017,20.31,25.82,28.84,3.41,0.29,78.67
Israel,ISR,2017,26.5,67.39,1.48,1.62,0.01,97
Italy,ITA,2017,15.56,18.88,43.77,0.89,1.85,80.95
Jamaica,JAM,2017,3.41,51.1,3.42,1,0.03,58.96
