Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2013
AFG,2,Afghanistan,2943,Meat,5142,Food,1000 tonnes,33.94,67.71,377
ALB,3,Albania,2943,Meat,5142,Food,1000 tonnes,41.15,20.17,197
DZA,4,Algeria,2943,Meat,5142,Food,1000 tonnes,28.03,1.66,826
AGO,7,Angola,2943,Meat,5142,Food,1000 tonnes,-11.2,17.87,776
ATG,8,Antigua and Barbuda,2943,Meat,5142,Food,1000 tonnes,17.06,-61.8,8
ARG,9,Argentina,2943,Meat,5142,Food,1000 tonnes,-38.42,-63.62,4445
ARM,1,Armenia,2943,Meat,5142,Food,1000 tonnes,40.07,45.04,136
AUS,10,Australia,2943,Meat,5142,Food,1000 tonnes,-25.27,133.78,2713
AUT,11,Austria,2943,Meat,5142,Food,1000 tonnes,47.52,14.55,772
AZE,52,Azerbaijan,2943,Meat,5142,Food,1000 tonnes,40.14,47.58,293
AZE,12,Bahamas,2943,Meat,5142,Food,1000 tonnes,25.03,-77.4,39
BGD,16,Bangladesh,2943,Meat,5142,Food,1000 tonnes,23.68,90.36,644
BRB,14,Barbados,2943,Meat,5142,Food,1000 tonnes,13.19,-59.54,19
BLR,57,Belarus,2943,Meat,5142,Food,1000 tonnes,53.71,27.95,834
BEL,255,Belgium,2943,Meat,5142,Food,1000 tonnes,50.5,4.47,776
BLZ,23,Belize,2943,Meat,5142,Food,1000 tonnes,17.19,-88.5,17
BEN,53,Benin,2943,Meat,5142,Food,1000 tonnes,9.31,2.32,260
BMU,17,Bermuda,2943,Meat,5142,Food,1000 tonnes,32.32,-64.76,6
BOL,19,Bolivia (Plurinational State of),2943,Meat,5142,Food,1000 tonnes,-16.29,-63.59,708
BIH,80,Bosnia and Herzegovina,2943,Meat,5142,Food,1000 tonnes,43.92,17.68,123
BWA,20,Botswana,2943,Meat,5142,Food,1000 tonnes,-22.33,24.68,58
BRA,21,Brazil,2943,Meat,5142,Food,1000 tonnes,-14.24,-51.93,19552
BRN,26,Brunei Darussalam,2943,Meat,5142,Food,1000 tonnes,4.54,114.73,36
BGR,27,Bulgaria,2943,Meat,5142,Food,1000 tonnes,42.73,25.49,388
BFA,233,Burkina Faso,2943,Meat,5142,Food,1000 tonnes,12.24,-1.56,199
CPV,35,Cabo Verde,2943,Meat,5142,Food,1000 tonnes,16,-24.01,18
KHM,115,Cambodia,2943,Meat,5142,Food,1000 tonnes,12.57,104.99,200
CMR,32,Cameroon,2943,Meat,5142,Food,1000 tonnes,7.37,12.35,297
CAN,33,Canada,2943,Meat,5142,Food,1000 tonnes,56.13,-106.35,3193
CAF,37,Central African Republic,2943,Meat,5142,Food,1000 tonnes,6.61,20.94,136
TCD,39,Chad,2943,Meat,5142,Food,1000 tonnes,15.45,18.73,154
CHL,40,Chile,2943,Meat,5142,Food,1000 tonnes,-35.68,-71.54,1510
CHN,96,"China, Hong Kong SAR",2943,Meat,5142,Food,1000 tonnes,22.4,114.11,1103
CHN,128,"China, Macao SAR",2943,Meat,5142,Food,1000 tonnes,22.2,113.54,68
CHN,41,"China, mainland",2943,Meat,5142,Food,1000 tonnes,35.86,104.2,84591
CHN,214,"China, Taiwan Province of",2943,Meat,5142,Food,1000 tonnes,23.7,120.96,1813
COL,44,Colombia,2943,Meat,5142,Food,1000 tonnes,4.57,-74.3,2454
COD,46,Congo,2943,Meat,5142,Food,1000 tonnes,-0.23,15.83,131
CRI,48,Costa Rica,2943,Meat,5142,Food,1000 tonnes,9.75,-83.75,244
CIV,107,Côte d'Ivoire,2943,Meat,5142,Food,1000 tonnes,7.54,-5.55,305
HRV,98,Croatia,2943,Meat,5142,Food,1000 tonnes,45.1,15.2,284
CUB,49,Cuba,2943,Meat,5142,Food,1000 tonnes,21.52,-77.78,608
CYP,50,Cyprus,2943,Meat,5142,Food,1000 tonnes,35.13,33.43,86
CZE,167,Czechia,2943,Meat,5142,Food,1000 tonnes,49.82,15.47,779
KOR,116,Democratic People's Republic of Korea,2943,Meat,5142,Food,1000 tonnes,40.34,127.51,348
DNK,54,Denmark,2943,Meat,5142,Food,1000 tonnes,56.26,9.5,460
DJI,72,Djibouti,2943,Meat,5142,Food,1000 tonnes,11.83,42.59,16
DMA,55,Dominica,2943,Meat,5142,Food,1000 tonnes,15.41,-61.37,4
DOM,56,Dominican Republic,2943,Meat,5142,Food,1000 tonnes,18.74,-70.16,491
ECU,58,Ecuador,2943,Meat,5142,Food,1000 tonnes,-1.83,-78.18,849
EGY,59,Egypt,2943,Meat,5142,Food,1000 tonnes,26.82,30.8,2500
SLV,60,El Salvador,2943,Meat,5142,Food,1000 tonnes,13.79,-88.9,184
EST,63,Estonia,2943,Meat,5142,Food,1000 tonnes,58.6,25.01,75
ETH,238,Ethiopia,2943,Meat,5142,Food,1000 tonnes,9.15,40.49,665
FJI,66,Fiji,2943,Meat,5142,Food,1000 tonnes,-16.58,179.41,35
FIN,67,Finland,2943,Meat,5142,Food,1000 tonnes,61.92,25.75,421
FRA,68,France,2943,Meat,5142,Food,1000 tonnes,46.23,2.21,5578
PYF,70,French Polynesia,2943,Meat,5142,Food,1000 tonnes,-17.68,-149.41,28
GAB,74,Gabon,2943,Meat,5142,Food,1000 tonnes,-0.8,11.61,118
GMB,75,Gambia,2943,Meat,5142,Food,1000 tonnes,13.44,-15.31,12
GEO,73,Georgia,2943,Meat,5142,Food,1000 tonnes,42.32,43.36,121
DEU,79,Germany,2943,Meat,5142,Food,1000 tonnes,51.17,10.45,7109
