Category,Region,Value,Nvalue,Percentage
Cereals - Excluding Beer,Africa,6640.81,0.28844606,28.84460604
Cereals - Excluding Beer,Asia,6937.62,0.293717414,29.37174138
Cereals - Excluding Beer,Europe,5902.05,0.144251638,14.4251638
Cereals - Excluding Beer,North America,2894.88,0.186132042,18.61320416
Cereals - Excluding Beer,Oceania,934.77,0.148841379,14.88413788
Cereals - Excluding Beer,South America,1737.39,0.211148367,21.11483674
Starchy Roots,Africa,4870.98,0.211572834,21.1572834
Starchy Roots,Asia,1311.71,0.055533752,5.553375205
Starchy Roots,Europe,3075.74,0.075173971,7.51739706
Starchy Roots,North America,959.06,0.061664662,6.166466167
Starchy Roots,Oceania,998.66,0.159014444,15.90144436
Starchy Roots,South America,779.38,0.094719559,9.471955898
Sugar Crops,Africa,58.16,0.002526201,0.25262013
Sugar Crops,Asia,120.82,0.005115146,0.511514582
Sugar Crops,Europe,0.01,2.44409E-07,2.44409E-05
Sugar Crops,North America,0,0,0
Sugar Crops,Oceania,9.46,0.001506295,0.150629507
Sugar Crops,South America,19.75,0.002400256,0.24002557
Sugar & Sweeteners,Africa,860.18,0.037362239,3.736223928
Sugar & Sweeteners,Asia,1128.39,0.047772549,4.777254917
Sugar & Sweeteners,Europe,2448.4,0.059841193,5.984119256
Sugar & Sweeteners,North America,1275.49,0.082010155,8.201015507
Sugar & Sweeteners,Oceania,436.17,0.069450393,6.945039337
Sugar & Sweeteners,South America,518.66,0.063033753,6.303375306
Pulses,Africa,436.82,0.01897344,1.89734397
Pulses,Asia,199.85,0.008461032,0.846103205
Pulses,Europe,127.26,0.003110354,0.311035377
Pulses,North America,223.36,0.014361373,1.436137346
Pulses,Oceania,29.1,0.004633529,0.463352924
Pulses,South America,62.7,0.007620052,0.762005228
Treenuts,Africa,32.76,0.001422943,0.142294282
Treenuts,Asia,84.84,0.003591864,0.359186369
Treenuts,Europe,129.18,0.00315728,0.315728037
Treenuts,North America,22.82,0.001467257,0.146725708
Treenuts,Oceania,12.34,0.001964871,0.196487116
Treenuts,South America,13.78,0.00167471,0.167471006
Oilcrops,Africa,407.56,0.017702521,1.770252069
Oilcrops,Asia,272.23,0.011525378,1.15253778
Oilcrops,Europe,165.57,0.004046686,0.40466861
Oilcrops,North America,195.1,0.012544341,1.25443408
Oilcrops,Oceania,672.6,0.107096624,10.70966242
Oilcrops,South America,74.09,0.009004301,0.900430102
Vegetable Oils,Africa,407.84,0.017714683,1.771468259
Vegetable Oils,Asia,389.11,0.016473716,1.647371619
Vegetable Oils,Europe,579.67,0.014167679,1.416767852
Vegetable Oils,North America,287.07,0.018457734,1.845773406
Vegetable Oils,Oceania,95.61,0.015223771,1.52237708
Vegetable Oils,South America,148.64,0.018064507,1.806450672
Vegetables,Africa,2139.16,0.092915213,9.291521285
Vegetables,Asia,4409.45,0.186682501,18.66825007
Vegetables,Europe,5815.36,0.142132853,14.21328531
Vegetables,North America,1722.28,0.110737403,11.07374028
Vegetables,Oceania,507.86,0.080865435,8.086543499
Vegetables,South America,858.75,0.104365549,10.43655486
Fruits - Excluding Wine,Africa,2609.05,0.11332506,11.33250603
Fruits - Excluding Wine,Asia,2443.06,0.103431618,10.34316185
Fruits - Excluding Wine,Europe,3679.5,0.089930431,8.993043131
Fruits - Excluding Wine,North America,2843.98,0.182859325,18.28593253
Fruits - Excluding Wine,Oceania,664.45,0.105798918,10.57989176
Fruits - Excluding Wine,South America,1153.82,0.140225976,14.02259765
Stimulants,Africa,42.82,0.001859903,0.185990268
Stimulants,Asia,108.8,0.004606256,0.460625613
Stimulants,Europe,229.2,0.005601863,0.560186299
Stimulants,North America,60.62,0.003897683,0.389768293
Stimulants,Oceania,18.53,0.002950491,0.29504913
Stimulants,South America,46.14,0.005607483,0.560748345
Spices,Africa,42.43,0.001842963,0.184296288
Spices,Asia,66.38,0.002810324,0.281032428
Spices,Europe,50.15,0.001225713,0.122571304
Spices,North America,32.18,0.002069077,0.206907682
Spices,Oceania,5.03,0.000800916,0.080091588
Spices,South America,6.01,0.000730407,0.073040693
Alcoholic Beverages,Africa,1366.36,0.059348356,5.934835647
Alcoholic Beverages,Asia,574,0.024301388,2.430138802
Alcoholic Beverages,Europe,3753.06,0.091728307,9.172830671
Alcoholic Beverages,North America,972.93,0.062556461,6.255646079
Alcoholic Beverages,Oceania,368.96,0.058748692,5.874869234
Alcoholic Beverages,South America,589,0.071582309,7.158230933
Meat,Africa,907.23,0.039405874,3.940587359
Meat,Asia,1587.99,0.067230594,6.723059435
Meat,Europe,3041.26,0.074331247,7.433124705
Meat,North America,1435.64,0.092307316,9.230731642
Meat,Oceania,605.42,0.0963997,9.639970001
Meat,South America,729.6,0.088669699,8.866969929
Offals,Africa,97.14,0.004219312,0.421931215
Offals,Asia,125.97,0.005333181,0.533318092
Offals,Europe,132.4,0.00323598,0.323598019
Offals,North America,54.49,0.003503542,0.350354244
Offals,Oceania,23.65,0.003765738,0.376573768
Offals,South America,31.89,0.003875653,0.387565339
Animal fats,Africa,26.87,0.001167108,0.116710848
Animal fats,Asia,66.72,0.002824719,0.282471883
Animal fats,Europe,419.76,0.010259328,1.025932813
Animal fats,North America,52.08,0.003348587,0.334858672
Animal fats,Oceania,29.12,0.004636714,0.463671379
Animal fats,South America,21.79,0.002648181,0.264818085
Eggs,Africa,79.34,0.003446163,0.344616251
Eggs,Asia,283.91,0.012019873,1.201987295
Eggs,Europe,492.07,0.012026652,1.202665235
Eggs,North America,179.52,0.011542594,1.154259386
Eggs,Oceania,46.24,0.007362694,0.736269388
Eggs,South America,106.34,0.012923706,1.29237059
Milk - Excluding Butter,Africa,1489.07,0.064678311,6.467831111
Milk - Excluding Butter,Asia,2409.49,0.102010368,10.20103683
Milk - Excluding Butter,Europe,9950.93,0.243210063,24.3210063
Milk - Excluding Butter,North America,1874.05,0.120495755,12.04957554
Milk - Excluding Butter,Oceania,484.32,0.077117212,7.711721237
Milk - Excluding Butter,South America,1189.19,0.144524561,14.4524561
"Fish, Seafood",Africa,507.65,0.022049967,2.204996718
"Fish, Seafood",Asia,901.41,0.038162917,3.816291667
"Fish, Seafood",Europe,923.39,0.022568518,2.256851773
"Fish, Seafood",North America,467.28,0.030044693,3.004469283
"Fish, Seafood",Oceania,338.02,0.053822184,5.382218394
"Fish, Seafood",South America,141.37,0.01718097,1.718096956
