Country,Population_2014,Population_2015,Population_2016,Population_2017,Cereals - Excluding Beer_2014,Cereals - Excluding Beer_2015,Cereals - Excluding Beer_2016,Cereals - Excluding Beer_2017,Starchy Roots_2014,Starchy Roots_2015,Starchy Roots_2016,Starchy Roots_2017,Sugar Crops_2014,Sugar Crops_2015,Sugar Crops_2016,Sugar Crops_2017,Sugar & Sweeteners_2014,Sugar & Sweeteners_2015,Sugar & Sweeteners_2016,Sugar & Sweeteners_2017,Pulses_2014,Pulses_2015,Pulses_2016,Pulses_2017,Treenuts_2014,Treenuts_2015,Treenuts_2016,Treenuts_2017,Oilcrops_2014,Oilcrops_2015,Oilcrops_2016,Oilcrops_2017,Vegetable Oils_2014,Vegetable Oils_2015,Vegetable Oils_2016,Vegetable Oils_2017,Vegetables_2014,Vegetables_2015,Vegetables_2016,Vegetables_2017,Fruits - Excluding Wine_2014,Fruits - Excluding Wine_2015,Fruits - Excluding Wine_2016,Fruits - Excluding Wine_2017,Stimulants_2014,Stimulants_2015,Stimulants_2016,Stimulants_2017,Spices_2014,Spices_2015,Spices_2016,Spices_2017,Alcoholic Beverages_2014,Alcoholic Beverages_2015,Alcoholic Beverages_2016,Alcoholic Beverages_2017,Meat_2014,Meat_2015,Meat_2016,Meat_2017,Offals_2014,Offals_2015,Offals_2016,Offals_2017,Animal fats_2014,Animal fats_2015,Animal fats_2016,Animal fats_2017,Eggs_2014,Eggs_2015,Eggs_2016,Eggs_2017,Milk - Excluding Butter_2014,Milk - Excluding Butter_2015,Milk - Excluding Butter_2016,Milk - Excluding Butter_2017,"Fish, Seafood_2014","Fish, Seafood_2015","Fish, Seafood_2016","Fish, Seafood_2017",Miscellaneous_2014,Miscellaneous_2015,Miscellaneous_2016,Miscellaneous_2017,Region,"GDP (PPP$, 2017)"
Afghanistan,33370.79,34413.6,35383.03,36296.11,177.94,174.73,175.44,177.3,6.61,6.37,6.41,6.29,0,0,0,0,9.82,9.45,10.65,9.64,2.11,2.29,2.39,2.11,0.93,0.67,0.89,0.55,0.55,0.48,0.49,0.5,3.54,3.42,3.75,3.82,42.67,42.29,72.26,48.34,33.53,37.96,31.01,38.23,2.97,2.11,1.45,2.2,0.02,0.04,0.27,0.41,0.04,0.01,0.01,0.01,10.62,9.98,9.05,8.59,1.6,1.57,1.44,1.47,1.76,1.67,1.76,1.41,1.48,1.33,1.33,1.5,64.37,57.47,56.21,54.19,0.19,0.21,0.23,0.25,0.91,0.65,0.59,0.52,Asia,"1,976"
Albania,2896.3,2890.51,2886.44,2884.17,150.73,148.13,152.89,145.76,44.81,44.93,45.26,45.62,NA,NA,NA,NA,33.39,36.12,36.25,38.74,5.88,5.91,5.95,6,3.46,3.57,2.8,3.82,23.09,23.23,23.37,23.64,7.68,8.04,7.7,8.22,255.39,261.72,284.68,296.86,162.18,169.1,176.27,171.08,2.59,2.67,2.69,2.66,0.06,0.07,0.07,0.02,39.93,38.44,38.05,42.15,51.33,41.72,41.44,47.51,4.83,5.27,4.99,5.86,3.13,3.61,3.33,3.42,13.97,14.95,15.26,14.66,339.51,352.17,386.37,396.34,5.34,5.35,5.36,5.36,2.48,3.39,3.34,2.83,Europe,"12,943"
Algeria,38923.69,39728.03,40551.39,41389.19,220.97,220.88,220.28,218.56,65.65,65.65,67.09,66.04,NA,NA,NA,NA,28.8,28.89,29.42,29.3,6.78,7.37,6.33,7.64,2.09,2.26,2.03,1.84,3.72,4.3,5.08,5.58,14.88,15.55,16.33,16.47,179.79,184.83,190.2,186.08,109.01,112.63,104.11,101.92,3.71,3.66,3.82,3.54,0.87,0.94,0.91,0.89,4.42,4.39,4.66,4.33,20.13,19.36,19.25,18.06,1.51,1.42,1.42,1.39,0.55,0.52,0.53,0.45,7.93,8.65,8.56,8.43,151.06,125.37,116.1,121.71,4.4,4.16,3.92,3.86,2.87,2.96,2.84,2.67,Africa,"15,293"
Angola,26941.78,27884.38,28842.49,29816.77,97.16,98.88,99.88,104.01,186.23,198.26,210.95,206.8,0,0,0,0,26.15,17.31,17.05,21.12,8.28,8.37,7.7,7.43,0.16,0.1,0.07,0.07,5.57,5.57,4.83,4.78,7.04,6.51,6.81,7.38,32.09,27.42,24.99,26.31,74.63,68.96,66.99,68.52,1.37,0.82,0.57,0.58,0.04,0.02,0.01,0.01,75.39,70.93,63.73,66.33,30.04,25.84,21.55,23.49,2.47,1.94,1.61,1.77,0.93,0.78,0.64,0.64,1.22,0.63,0.7,0.67,15.3,10.12,9.86,9.49,26.36,22.72,19.52,20.22,2.85,1.52,1.4,1.33,Africa,"6,658"
Antigua and Barbuda,92.56,93.57,94.53,95.43,83.99,86.55,82.06,75.93,18.93,16.17,15.19,18.39,NA,NA,NA,NA,45.52,43.07,46.29,49.07,2.61,2.52,1.76,2.33,0.39,0.37,0.29,0.32,2.93,2.81,2.62,2.75,10.15,10.81,11.07,10.26,63.54,62.9,54.85,69.01,126.15,129.78,129.83,136.07,1.79,1.38,1.38,1.98,1.34,1.35,1.07,1.93,30.33,31.48,43.82,45.29,73.35,72.13,64.17,72.04,2.48,2.52,2.06,2.81,0.13,0.11,0.11,0.11,2.98,3.76,2.84,2.88,76.96,82.16,80.05,80.62,54.17,53.59,53.04,52.54,12.66,5.54,12.5,9.04,North America,"23,522"
Argentina,42637.51,43075.42,43508.46,43937.14,130.27,131.79,127.06,130.63,45.68,45.95,46.64,47.25,NA,NA,NA,NA,47.96,47.36,46.11,47.43,0.88,0.83,0.82,0.82,0.27,0.26,0.32,0.31,0.18,0.18,0.18,0.18,15.12,14.67,15.26,14.82,64.91,66.3,66.03,67.57,86.1,90.78,89.63,93.87,6.2,6.71,6.61,6.8,0.16,0.18,0.19,0.19,63.93,63.82,62.99,66.28,103.47,108.95,108.18,109.38,5.71,5.81,5.67,5.87,3.03,3.1,3.67,3.47,12.53,14.76,15.4,15.5,190.61,196.78,181.22,158.94,5.88,7.21,6.07,7.29,NA,NA,NA,NA,South America,"20,829"
Armenia,2912.41,2925.55,2936.14,2944.79,144.38,145.13,146.59,146.9,41.64,43.6,45.43,40.98,NA,NA,NA,NA,51.76,52.28,52.39,53.5,3.49,2.62,2.43,2.9,0.98,1.68,1.73,2.23,1.61,1.43,0.96,1.81,9.76,9.73,9.75,9.47,406.59,415.33,369.65,336.18,109.65,119.26,103.14,122.76,3.63,3.91,4.04,3.75,0.08,0.1,0.11,0.11,7.35,7.62,7.47,8.08,44.56,43.7,42.69,45.64,5,5.38,5.64,6.12,4.21,3.72,3.94,3.69,11.16,11.28,11.83,11.64,207.1,193.96,207.7,200.09,5.5,6.59,6.54,5.83,3.48,4.21,3.9,4.74,Europe,"9,668"
Australia,23596.42,23932.5,24262.71,24584.62,96.5,94.1,97.29,99.71,53.03,52.72,50.24,50.57,0,0,0,0,47.65,46.61,47.12,46,0.98,0.67,0.67,0.99,4.9,4.1,4.86,5.76,5.84,5.84,6.15,6.7,23.52,23.06,23.72,23.21,87.68,91.24,94.14,93.23,74.3,72.93,79.25,75.96,8.44,9.07,8.09,5.31,0.87,0.94,1.08,0.83,108.44,106.51,103.94,100.54,119.47,123.26,123.04,121.6,9.57,10.75,9.45,7.69,5.63,5.64,5.79,5.7,7.62,7.42,7.89,8.03,226.52,221.47,211.3,219.48,26.41,24.82,25.7,25.87,13.03,14.03,13.86,9.6,Oceania,"49,378"
Austria,8615.21,8678.66,8747.3,8819.9,119.98,115.73,116.73,115.74,58.38,55.46,57.39,56.92,NA,NA,NA,NA,46.14,48.23,49.98,48.62,0.7,0.74,0.77,0.85,4.91,4.38,3.6,4.41,4.73,5.78,5.89,5,15.54,15.64,15.52,15.11,103.18,91.17,95.77,95.21,93.31,100.2,74.58,85.84,8.18,8.09,8.09,7.65,0.84,0.88,0.89,0.92,140.13,136.68,130.32,130.83,90.48,90.59,88.01,87.22,0.81,0.9,1.52,1.96,16.04,15.87,15.32,15.94,13.72,13.82,13.86,14.69,234.11,227.08,234.91,230.63,14,14.03,14.05,14.09,0.01,0.06,0.06,0.01,Europe,"53,879"
Azerbaijan,9505.62,9622.75,9736.04,9845.32,208.94,206.13,209.85,207.36,72.02,71.04,74.28,74.52,NA,0,0,0,22.26,24.44,21.13,24.59,1.01,1,0.86,0.55,2.3,2.89,2.58,3.02,0.32,0.24,0.25,0.23,3.56,3.62,3.55,3.54,156.18,163.64,160.46,159.61,68.8,73.9,77.08,76.02,0.33,0.33,0.32,0.93,0.12,0.08,0.05,0.07,62.93,58.4,53.51,56.98,32.44,33.53,32.64,34.08,2.37,2.56,2.44,2.43,3.25,3.74,4.19,4.03,8.55,8.34,8.56,8.86,127.06,127.23,132.45,131.82,1.93,1.37,2.19,3.2,2.44,2.79,2.19,0.23,Europe,"17,450"
