Area,"Alcohol, Non-Food",Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Barley and products,Beans,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cassava and products,Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconut Oil,Coconuts - Incl Copra,Coffee and products,Cottonseed,Cottonseed Oil,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts (Shelled Eq),Honey,Infant food,"Lemons, Limes and products",Maize and products,Maize Germ Oil,"Marine Fish, Other","Meat, Aquatic Mammals","Meat, Other",Milk - Excluding Butter,Millet and products,Miscellaneous,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other","Oilcrops, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Palm kernels,Palm Oil,Palmkernel Oil,Peas,Pelagic Fish,Pepper,Pigmeat,Pimento,Pineapples and products,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustard Oil,Rape and Mustardseed,Rice and products,Ricebran Oil,"Roots, Other",Rye and products,Sesame seed,Sesameseed Oil,Sorghum and products,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sugar beet,Sugar cane,Sugar non-centrifugal,Sunflower seed,Sunflowerseed Oil,Sweet potatoes,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wheat and products,Wine,Yams
Afghanistan,NA,4.01,NA,NA,3.66,0.51,NA,0.01,0,0,2.61,1.01,NA,NA,0,1.32,NA,0,0,0,0.03,NA,0.1,0.01,NA,0,NA,1.5,0.4,NA,NA,0.25,8.12,0.01,17.9,0,0.03,0.04,0.1,0.01,1.38,0,NA,NA,0.3,54.19,0.26,0.42,NA,4.15,0.55,0,1.47,0,NA,0.02,0.07,5.88,3.18,NA,1.84,0,NA,NA,NA,0,NA,0,NA,6.29,1.53,2.11,0.06,NA,19.77,0,NA,0,0.4,0.02,NA,0.3,0,0.41,9.12,NA,0,NA,NA,1.47,NA,0.48,2.16,0,42.46,155.39,0,NA
Africa,0,2.16,0,0,11.94,3.17,4.28,12.35,0.62,18.13,5.63,0.22,59.45,0.04,3.85,4.04,0.01,0.01,0.1,0.88,0.65,NA,0.27,0.11,0.18,2.67,1.64,2.3,0.29,0,0,4,13.43,0.37,2.22,1.06,3.28,0.17,0.07,0.83,46.78,0.21,0.78,NA,1.43,35.45,8.34,0.85,0.04,2.49,1.01,0.07,2.04,0.85,0.45,0.22,0.99,9.66,7.33,0,2.9,0.5,0.59,3.66,0.03,1.48,0.71,4.13,13.52,17.1,6.21,7.09,0.03,0,36.39,0,8.52,0,0.34,0.1,15.64,1.43,0.63,0.55,15.02,0,3.19,0.04,0.13,1.1,17.19,2.26,0.42,16.99,40.69,48.99,0.63,30.18
Albania,NA,33.7,0,0,9.88,0.26,5.64,32.08,0,0,14.67,1.81,0,0.41,0.05,0.03,NA,0,NA,0,2.58,NA,NA,0,0.35,4.1,1.08,14.66,1.62,0,0,0.83,51.95,0.06,52.6,0.01,0.25,1.09,0.09,2.34,2.8,0.29,0.74,NA,0.17,396.34,NA,2.74,0.37,9.11,3.82,0.08,5.86,1.47,NA,0.64,23.34,37.09,16.36,NA,NA,NA,0,1.58,0.01,7.2,0.01,0.07,0,45.61,16.36,0.36,0.01,0,9.84,NA,0,0.63,NA,NA,NA,0.1,0,0,21.2,NA,NA,NA,NA,5.7,0,16.45,0.07,73.58,186.19,132.1,10.06,NA
Algeria,NA,11.36,0,0,2.09,12.57,1.39,4.18,0.15,0,4.63,0.22,0,0.09,0.07,0.03,0,0,0.05,0.04,3.2,NA,NA,NA,0.11,20.88,0.42,8.43,0.23,0,0,0.17,25.89,0.04,12.3,0.68,0.1,0.15,0.44,1.67,15.87,0.03,0.32,NA,0.35,121.71,NA,2.23,0,6.69,1.84,0.01,1.39,2.9,0,1.76,5.24,32.6,27.45,NA,0.66,NA,0.45,2.75,0.08,0,0.43,0.2,0,66.04,6.38,5.8,0.1,0,4.25,NA,0,0,0.16,0,0.13,8.04,0,0.37,26.65,NA,NA,NA,NA,2.25,0,2.5,0.34,30.49,122.99,185.67,0.01,NA
Americas,NA,10.02,0.07,0,16.57,0.3,6.28,60.75,3.87,0.77,27.83,1.2,12.9,0.36,0.45,0.7,0,0,0.1,2.77,2.75,0,0.44,0.6,2.92,0.08,2.87,12.59,1.55,0,0,3.88,25.6,1.2,4.53,0.09,2.32,0.3,0.1,5.35,37.51,0.83,0.33,0,0.65,163.96,0,0.99,1.38,0.62,1.89,2.21,2.21,1.47,0.01,0.47,0.41,9.58,20.85,NA,1.88,0.06,0.52,3.04,0.09,18.65,0.21,7.38,8.16,34.25,41.94,1.28,1.23,0,28.17,0.02,1.1,0.25,0.12,0.03,0.28,8.9,0.26,0.38,35.37,0.02,3.26,1.82,0.19,0.83,2.76,16.12,1.01,21.2,47,61.45,4.94,1.03
Angola,NA,0.61,0,0,34.84,0,6.58,39.17,1.03,25,4.33,0.06,158.04,0.13,0,8.47,0,0,0,0.13,0.56,NA,0.02,0.27,0.03,0,5.95,0.67,0.31,0,NA,0.85,2.14,0,0.03,0.99,4.05,0.75,0.15,0.06,56.57,0.01,0.74,NA,0.32,9.49,1.38,1.18,0.01,0.77,0.07,0.03,1.77,0.03,NA,0.11,0.04,0.89,0.36,NA,2.52,0.24,NA,12.51,0,7.5,0,22.02,0,15.08,10.56,0.85,0,0,13.43,0,0,0,0.09,0,0,2.8,0.46,0.01,11.33,NA,0,NA,NA,0.66,33.69,9.04,0.02,3.19,22.23,32.6,1.13,NA
Antigua and Barbuda,NA,4.88,NA,0,19.52,0,1.1,30.11,8.25,0.55,7.47,0,1.34,0.36,0.62,0.38,0.08,0,0.08,0.46,0.83,NA,0.03,0,5.49,0.09,6.08,2.88,0.1,0,0.01,0.72,90.32,0.25,3.35,0.25,1.3,0.35,0.49,4.9,1.43,0.12,19.4,NA,0.25,80.62,0,8.55,7.81,1.99,0.32,1.26,2.81,5.03,NA,0.52,0.31,7,2.8,NA,0,0,0.53,12.68,0.45,8.22,0.23,6.27,3.3,11.68,54.1,0.7,0.15,0,13.18,NA,0.79,0.01,0.02,0.04,0,3.98,0.27,1.18,27.12,NA,NA,NA,0.03,0.04,3.27,21.6,1.15,8.42,53.59,59.42,6.38,1.32
Argentina,NA,16.97,0,0,14.7,NA,0.41,43.03,1.11,0.04,54.16,0.93,1.84,0.54,0.77,0.03,0,0,0.09,0.06,0.84,NA,0.07,0,1.43,0.01,2.87,15.5,2.55,0,0,0.31,16.69,1.99,2.02,0.09,0,0.03,NA,13.76,11.57,0.49,0.01,NA,1,158.94,NA,NA,0.77,1.28,0.31,0.96,5.87,0.16,0,0.11,0.1,14.36,26.8,NA,0,0,0.06,1.38,0.04,10.7,0.09,0.88,0.03,38.28,42.24,0.34,0.05,0,12.16,NA,0,NA,0,0,NA,2.67,0.01,0.07,40.76,NA,NA,NA,NA,11.09,7.14,6.64,5.96,14.35,38.86,105.17,22.1,NA
Armenia,NA,27.31,0,0,4.11,0.54,1.49,6.1,0.36,0,17.82,1.48,0,0.01,2.31,0.01,NA,0.33,0.19,0.03,3.29,0,0,0,0.35,0.28,0.14,11.64,2.21,0,0,4.37,70.75,0.42,14.14,0,0.68,0.74,0.14,0.71,7.48,0.14,0.17,NA,0.03,200.09,NA,4.6,0.03,2.95,2.23,0.65,6.12,2.19,0.01,0.03,1.05,18,4.55,NA,0,0,0.52,0.76,0.07,8.79,0.02,0.37,0.11,40.98,16.06,0.88,0,0,3.29,NA,0,0.14,0.02,0,NA,0.21,0.01,0.03,29.45,NA,NA,NA,NA,6.7,0,23.31,0.13,62.52,255.66,132.49,1.62,NA
Asia,NA,9.02,0.26,0.32,11.34,0.67,1.68,13.76,3.02,1.11,4.68,0.23,5.07,0.54,0.31,1.38,0.01,0,0.22,3.76,0.66,0,0.47,0.18,2.37,0.85,2.43,10.85,0.86,0.01,0,10.93,30,1.26,4.56,0.58,2.47,0.16,0.12,1.25,11.05,0.19,1.36,NA,0.55,62.25,2.51,0.49,3.68,1.93,2.25,0.1,2.21,0.29,0.04,0.09,0.09,13.04,9.89,0,2.05,0.23,1.15,2.59,0.07,15.18,0.64,1.65,0.98,29.64,9.71,4.39,1.29,0,117.25,0.09,0.77,0.09,0.18,0.12,1.51,2.09,2.07,1.17,14.54,0.08,1.46,1.04,0.02,0.77,8,1.88,1.06,20.63,145.99,63.29,0.77,0.03
