Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Population,Population (1000),Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Region
Afghanistan,0.01,1.41,NA,177.3,1.5,0.25,38.23,8.59,54.19,1.47,0.5,36296110,36296.11,2.11,0.41,6.29,2.2,9.64,0,0.55,3.82,48.34,Asia
Albania,42.15,3.42,0,145.76,14.66,5.36,171.08,47.51,396.34,5.86,23.64,2884170,2884.17,6,0.02,45.62,2.66,38.74,NA,3.82,8.22,296.86,Europe
Algeria,4.33,0.45,0,218.56,8.43,3.86,101.92,18.06,121.71,1.39,5.58,41389190,41389.19,7.64,0.89,66.04,3.54,29.3,NA,1.84,16.47,186.08,Africa
Angola,66.33,0.64,0,104.01,0.67,20.22,68.52,23.49,9.49,1.77,4.78,29816770,29816.77,7.43,0.01,206.8,0.58,21.12,0,0.07,7.38,26.31,Africa
Antigua and Barbuda,45.29,0.11,0,75.93,2.88,52.54,136.07,72.04,80.62,2.81,2.75,95430,95.43,2.33,1.93,18.39,1.98,49.07,NA,0.32,10.26,69.01,North America
Argentina,66.28,3.47,0,130.63,15.5,7.29,93.87,109.38,158.94,5.87,0.18,43937140,43937.14,0.82,0.19,47.25,6.8,47.43,NA,0.31,14.82,67.57,South America
Armenia,8.08,3.69,0,146.9,11.64,5.83,122.76,45.64,200.09,6.12,1.81,2944790,2944.79,2.9,0.11,40.98,3.75,53.5,NA,2.23,9.47,336.18,Europe
Australia,100.54,5.7,0.06,99.71,8.03,25.87,75.96,121.6,219.48,7.69,6.7,24584620,24584.62,0.99,0.83,50.57,5.31,46,0,5.76,23.21,93.23,Oceania
Austria,130.83,15.94,0.02,115.74,14.69,14.09,85.84,87.22,230.63,1.96,5,8819900,8819.9,0.85,0.92,56.92,7.65,48.62,NA,4.41,15.11,95.21,Europe
Azerbaijan,56.98,4.03,0,207.36,8.86,3.2,76.02,34.08,131.82,2.43,0.23,9845320,9845.32,0.55,0.07,74.52,0.93,24.59,0,3.02,3.54,159.61,Europe
Bahamas,22.82,0.07,0.01,42.13,7.07,27.31,150.12,67.04,24.61,3.64,7.91,381750,381.75,0.57,1,11.93,1.76,70.3,NA,0.56,5.78,87.83,North America
Bangladesh,0.03,0.15,0,287.28,2.85,24.31,27.62,4.04,18.1,0.61,0.79,159685420,159685.42,6.81,3.08,51.45,0.51,8.95,1.88,0.9,7.34,35.09,Asia
